,avg_block_size,avg_trx_cost,confirmation_time,difficulty,hash_rate,market_cap,price_usd,total_block_size,total_miner_revenue,total_supply,total_trx_fees,trade_volume,transactions,trx_cost_percent,trx_per_block,trx_volume,unique_addresses
2016-09-16,0.7762365,5.19468728661,8.8,225832872179.0,1571669.81542,9687705824.0,609.11465,82853.274142,1067815.0,15876800.0,64.55642211,12836700.3452,213142.0,0.967461755901,1522.44285714,187558.46533900002,377920.0
2016-09-17,0.75438393865,5.912943491930001,8.5,225832872179.0,1829872.71366,9658620486.12,608.006875,82976.238724,1239350.125,15878837.5,57.63998368,8953094.94796,215529.0,1.37337655605,1322.26380368,152553.935368,376568.0
2016-09-18,0.678307186207,5.978730984559999,7.7,225832872179.0,1627800.88025,9751671939.0,611.5859,83074.593266,1112983.75,15880650.0,53.0225757,9289978.563719999,191603.0,1.12523597988,1321.4,165789.452974,369331.0
2016-09-19,0.835041233083,4.713069626449999,10.9666666667,225832872179.0,1493086.32464,9679951822.5,610.1965,83185.65375,1013869.98,15882312.5,66.12043758,12354975.677000001,223540.0,0.781803485575,1680.7518797000002,221106.77036799997,399754.0
2016-09-20,0.7854744771240001,4.8721626774099995,8.28333333333,225832872179.0,1717610.58399,9683802530.0,609.74875,83305.831345,1166565.275,15884200.0,69.34697102,13349846.1245,247987.0,0.814265757968,1620.83006536,243390.680699,419627.0
2016-09-21,0.7113517951809999,5.3496443740499995,6.7,225832872179.0,1863551.3525599998,9500151312.75,598.884875,83423.91574299999,1241468.76,15886275.0,64.96509855,20607535.0871,239216.0,0.8391217781010001,1441.06024096,255024.378392,408180.0
2016-09-22,0.7625821063830001,4.710935436580001,9.55,225832872179.0,1582896.02838,9481980780.0,597.4226,83531.43982,1051860.0,15888037.5,62.72699094,12923838.3341,231227.0,0.9194903649320001,1639.90780142,198504.199778,391223.0
2016-09-23,0.805261051471,4.760949427780001,9.88333333333,225832872179.0,1526764.96355,9592952323.5,604.2225,83640.955323,1027531.44,15889737.5,60.05767564,12358708.7831,223187.0,0.737826004269,1641.08088235,238546.441228,389323.0
2016-09-24,0.638012005988,6.15066094861,7.0,225832872179.0,1874777.56553,9583875364.38,603.8854,83747.50332799999,1258908.625,15891812.5,59.4740433,6905876.288539999,210510.0,1.2762190173999999,1260.53892216,168229.27836300002,369379.0
2016-09-25,0.5713854838710001,7.22608776373,6.06666666667,234688749068.0,2230413.2647599997,9541084296.25,601.7472375,83853.781028,1395674.25,15894125.0,50.00651953,6562797.4203699995,197298.0,0.927690948719,1060.74193548,256012.68642399998,374974.0
2016-09-26,0.7708344117649999,5.2075892581400005,6.95,241227200229.0,1834694.7823,9682117480.88,608.1469625,83971.71869299999,1165493.715,15896037.5,60.52560461,14621404.8975,230769.0,0.7920722349789999,1508.29411765,249096.675465,430205.0
2016-09-27,0.762229710059,5.40863978441,7.13333333333,241227200229.0,2026558.28895,9602149537.5,605.9622125,84100.535514,1276511.73,15898125.0,63.63619115,12980365.4284,243008.0,0.890928105396,1437.91715976,244254.97163800002,425011.0
2016-09-28,0.782306155405,4.92474567059,9.05,241227200229.0,1774737.43648,9610103889.75,605.679475,84216.316825,1119367.32,15899975.0,64.74431075,9494530.32337,234995.0,0.769059161914,1587.80405405,248972.303507,433852.0
2016-09-29,0.832816377622,4.6313436254199996,9.35,241227200229.0,1714780.09065,9631379511.0,606.36375,84335.409567,1083864.36,15901762.5,68.53955587,12937983.9999,242730.0,0.7294288582780001,1697.41258741,254451.072892,440834.0
2016-09-30,0.843357401408,4.48816915356,9.28333333333,241227200229.0,1702788.62148,9716425271.0,609.3962875,84455.16631799999,1084454.0,15903537.5,68.45068728,12885196.8876,250943.0,0.734708380289,1767.20422535,250909.168418,442960.0
